Company Name / 회사명,Type / 유형,HQ Location / 본사 위치,Area / 지역,AUM ($Bil),AUM (억원),AREA(지역),주주여부
아든자산운용,Mutual,서울,0, 0 , 585 ,Korea,
아라자산운용,Mutual,서울,0, 0 , 40 ,Korea,
아람자산운용,Mutual,서울,0, 0 , 280 ,Korea,
아르고스자산운용,Mutual,서울,0, 0 , 70 ,Korea,
아름자산운용,Mutual,서울,0, 0 ," 1,483 ",Korea,
아미쿠스자산운용,Mutual,서울,0, 0 , 215 ,Korea,
아샘자산운용,Mutual,서울,0, 0 ," 1,194 ",Korea,
아스트라자산운용,Mutual,서울,0, 0 , 951 ,Korea,
아우름자산운용,Mutual,서울,0, 0 , 447 ,Korea,
아울자산운용,Mutual,서울,0, 0 , 151 ,Korea,
아이디어브릿지자산운용,Mutual,서울,0, 0 , 977 ,Korea,
아이리스자산운용,Mutual,서울,0, 0 , 187 ,Korea,
아이비자산운용,Mutual,서울,0, 0 , 134 ,Korea,
아이비케이자산운용,Mutual,서울,0, 24 ," 342,789 ",Korea,
아이앤제이자산운용,Mutual,서울,0, 0 , 232 ,Korea,
아이앤케이투자자산운용,Mutual,서울,0, 0 ," 1,240 ",Korea,
아이엠에셋자산운용,Mutual,서울,0, 11 ," 156,396 ",Korea,
아이엠엠자산운용,Mutual,서울,0, 0 ," 2,148 ",Korea,
아이엠엠크레딧앤솔루션,Mutual,서울,0, 0 ," 1,921 ",Korea,
아이온자산운용,Mutual,서울,0, 0 , 461 ,Korea,
아이트러스트자산운용,Mutual,서울,0, 0 ," 1,525 ",Korea,
아이파트너스자산운용,Mutual,서울,0, 0 ," 1,370 ",Korea,
아이피엠자산운용,Mutual,서울,0, 0 , 480 ,Korea,
아크미스자산운용,Mutual,서울,0, 0 , 1 ,Korea,
아크임팩트자산운용,Mutual,서울,0, 0 ," 1,893 ",Korea,
아테나자산운용,Mutual,서울,0, 0 , 639 ,Korea,
아톰자산운용,Mutual,서울,0, 0 , 134 ,Korea,
아트만자산운용,Mutual,서울,0, 0 ," 2,310 ",Korea,
아하에셋자산운용,Mutual,서울,0, 0 , 168 ,Korea,
안다에이치자산운용,Mutual,서울,0, 0 ," 2,581 ",Korea,
안다자산운용,Mutual,서울,0, 1 ," 7,967 ",Korea,
알더인베스트먼트,Mutual,서울,0, 0 , 216 ,Korea,
알디자산운용,Mutual,서울,0, 0 , 71 ,Korea,
알세온코리아자산운용,Mutual,서울,0, - , - ,Korea,
알지자산운용,Mutual,서울,0, 0 , 62 ,Korea,
알파벳자산운용,Mutual,서울,0, 0 , 61 ,Korea,
알파자산운용,Mutual,서울,0, 0 ," 5,928 ",Korea,
알파플러스자산운용,Mutual,서울,0, 0 , 945 ,Korea,
알펜루트자산운용,Mutual,서울,0, 0 ," 1,433 ",Korea,
앤도버자산운용,Mutual,서울,0, 0 ," 1,774 ",Korea,
앱솔루트자산운용,Mutual,서울,0, 0 , 855 ,Korea,
어닝자산운용,Mutual,서울,0, 0 , 255 ,Korea,
어라운드자산운용,Mutual,서울,0, 0 , 213 ,Korea,
어반자산운용,Mutual,서울,0, 0 , 306 ,Korea,
어스틴자산운용,Mutual,서울,0, 0 , 161 ,Korea,
어썸자산운용,Mutual,서울,0, 0 , 484 ,Korea,
얼라이언스번스틴자산운용,Mutual,서울,0, - , - ,Korea,
얼라인파트너스자산운용,Mutual,서울,0, 1 ," 9,584 ",Korea,
얼터너티브자산운용,Mutual,서울,0, - , - ,Korea,
에너지인프라자산운용,Mutual,서울,0, - , - ,Korea,
에셋플러스자산운용,Mutual,서울,0, 0 ," 6,064 ",Korea,
에스앤씨자산운용,Mutual,서울,0, 0 , 779 ,Korea,
에스에이치자산운용,Mutual,서울,0, 0 , 293 ,Korea,
에스엘피자산운용,Mutual,서울,0, - , - ,Korea,
에스티엔에이치자산운용,Mutual,서울,0, 0 , 494 ,Korea,
에스티자산운용,Mutual,서울,0, 0 , 203 ,Korea,
에스피자산운용,Mutual,서울,0, 0 ," 2,161 ",Korea,
에이디에프자산운용,Mutual,서울,0, 2 ," 28,105 ",Korea,
에이아이파트너스자산운용,Mutual,서울,0, 0 ," 2,122 ",Korea,
에이아이피자산운용,Mutual,서울,0, 0 , 435 ,Korea,
에이알에이코리아자산운용,Mutual,서울,0, 1 ," 16,465 ",Korea,
에이에프더블유자산운용,Mutual,서울,0, 0 , 255 ,Korea,
에이올자산운용,Mutual,서울,0, 0 , 87 ,Korea,
에이원자산운용,Mutual,서울,0, 0 ," 3,392 ",Korea,
에이치디씨자산운용,Mutual,서울,0, 1 ," 12,114 ",Korea,
에이치비자산운용,Mutual,서울,0, 0 , 50 ,Korea,
에이치스톤자산운용,Mutual,서울,0, 0 , 161 ,Korea,
에이치알자산운용,Mutual,서울,0, 0 , 940 ,Korea,
에이치에이치알자산운용,Mutual,서울,0, 0 ," 3,650 ",Korea,
에이치원자산운용,Mutual,서울,0, 0 , 1 ,Korea,
에이치자산운용,Mutual,서울,0, 0 , 385 ,Korea,
에이케이파트너스자산운용,Mutual,서울,0, 0 , 341 ,Korea,
에이펙스자산운용,Mutual,서울,0, 0 , 683 ,Korea,
에이플랜자산운용,Mutual,서울,0, 0 , 200 ,Korea,
에이피자산운용,Mutual,서울,0, 0 , 74 ,Korea,
에임즈자산운용,Mutual,서울,0, 0 , 176 ,Korea,
에프엘자산운용,Mutual,서울,0, 0 ," 6,648 ",Korea,
엑스포넨셜자산운용,Mutual,서울,0, 0 , 487 ,Korea,
엑시엄자산운용,Mutual,서울,0, 0 , 104 ,Korea,
엔라이튼자산운용,Mutual,서울,0, 0 , 765 ,Korea,
엔에스자산운용,Mutual,서울,0, 0 , 350 ,Korea,
엔에이치농협리츠운용,Mutual,서울,0, 0 ," 4,351 ",Korea,
엔에이치아문디자산운용,Mutual,서울,0, 41 ," 572,461 ",Korea,
엔에이치헤지자산운용,Mutual,서울,0, 1 ," 10,087 ",Korea,
엘비자산운용,Mutual,서울,0, 2 ," 24,519 ",Korea,
엘에이치에스자산운용,Mutual,서울,0, 0 , 148 ,Korea,
엘에프자산운용,Mutual,서울,0, 0 , 233 ,Korea,
엘엑스자산운용,Mutual,서울,0, 0 ," 1,454 ",Korea,
엘엔에스자산운용,Mutual,서울,0, 0 ," 2,143 ",Korea,
엘케이자산운용,Mutual,서울,0, 0 , 963 ,Korea,
엠디엠자산운용,Mutual,서울,0, 1 ," 9,847 ",Korea,
엠플러스자산운용,Mutual,서울,0, 1 ," 9,385 ",Korea,
오라이언자산운용,Mutual,서울,0, 1 ," 7,242 ",Korea,
오르카자산운용,Mutual,서울,0, 0 , 489 ,Korea,
오름자산운용,Mutual,서울,0, - , - ,Korea,
오스카자산운용,Mutual,서울,0, 0 , 216 ,Korea,
오이코스자산운용,Mutual,서울,0, 0 , 162 ,Korea,
오하자산운용,Mutual,서울,0, 0 ," 4,790 ",Korea,
옵투스자산운용,Mutual,서울,0, 0 , 288 ,Korea,
와이드크릭자산운용,Mutual,서울,0, 0 ," 4,002 ",Korea,
와이씨자산운용,Mutual,서울,0, 0 , 944 ,Korea,
와이앤피자산운용,Mutual,서울,0, 0 ," 2,988 ",Korea,
와이즈먼자산운용,Mutual,서울,0, 0 , 136 ,Korea,
와이케이자산운용,Mutual,서울,0, 0 , 243 ,Korea,
요위스자산운용,Mutual,서울,0, - , - ,Korea,
우리자산운용,Mutual,서울,0, 36 ," 504,751 ",Korea,
우리프라이빗에퀴티자산운용,Mutual,서울,0, 0 ," 5,826 ",Korea,
우영자산운용,Mutual,서울,0, 0 , 715 ,Korea,
원에이츠자산운용,Mutual,서울,0, 0 , 365 ,Korea,
원자산운용,Mutual,서울,0, 0 ," 2,366 ",Korea,
월넛자산운용,Mutual,서울,0, 0 ," 1,653 ",Korea,
